plot,Time,Temperature
A01,25/09/2021 12:31,7.5
A01,25/09/2021 16:31,7.5
A01,25/09/2021 20:31,7
A01,26/09/2021 0:31,6.5
A01,26/09/2021 4:31,6
A01,26/09/2021 8:31,6
A01,26/09/2021 12:31,12
A01,26/09/2021 16:31,13
A01,26/09/2021 20:31,10
A01,27/09/2021 0:31,8
A01,27/09/2021 4:31,7
A01,27/09/2021 8:31,7.5
A01,27/09/2021 12:31,9.5
A01,27/09/2021 16:31,14.5
A01,27/09/2021 20:31,10
A01,28/09/2021 0:31,8
A01,28/09/2021 4:31,7.5
A01,28/09/2021 8:31,7.5
A01,28/09/2021 12:31,13
A01,28/09/2021 16:31,19
A01,28/09/2021 20:31,12.5
A01,29/09/2021 0:31,8
A01,29/09/2021 4:31,6.5
A01,29/09/2021 8:31,6
A01,29/09/2021 12:31,13
A01,29/09/2021 16:31,17.5
A01,29/09/2021 20:31,13
A01,30/09/2021 0:31,9
A01,30/09/2021 4:31,7.5
A01,30/09/2021 8:31,6.5
A01,30/09/2021 12:31,17
A01,30/09/2021 16:31,22.5
A01,30/09/2021 20:31,14.5
A01,01/10/2021 0:31,11
A01,01/10/2021 4:31,9.5
A01,01/10/2021 8:31,9
A01,01/10/2021 12:31,15.5
A01,01/10/2021 16:31,19.5
A01,01/10/2021 20:31,14
A01,02/10/2021 0:31,10.5
A01,02/10/2021 4:31,9
A01,02/10/2021 8:31,8.5
A01,02/10/2021 12:31,10
A01,02/10/2021 16:31,9.5
A01,02/10/2021 20:31,8.5
A01,03/10/2021 0:31,8
A01,03/10/2021 4:31,7
A01,03/10/2021 8:31,5.5
A01,03/10/2021 12:31,9.5
A01,03/10/2021 16:31,13
A01,03/10/2021 20:31,8.5
A01,04/10/2021 0:31,5.5
A01,04/10/2021 4:31,4
A01,04/10/2021 8:31,4
A01,04/10/2021 12:31,6.5
A01,04/10/2021 16:31,9
A01,04/10/2021 20:31,7
A01,05/10/2021 0:31,6
A01,05/10/2021 4:31,6
A01,05/10/2021 8:31,6.5
A01,05/10/2021 12:31,8
A01,05/10/2021 16:31,9
A01,05/10/2021 20:31,7
A01,06/10/2021 0:31,6
A01,06/10/2021 4:31,5
A01,06/10/2021 8:31,4.5
A01,06/10/2021 12:31,12.5
A01,06/10/2021 16:31,18.5
A01,06/10/2021 20:31,12.5
A01,07/10/2021 0:31,9.5
A01,07/10/2021 4:31,8
A01,07/10/2021 8:31,7
A01,07/10/2021 12:31,17
A01,07/10/2021 16:31,18.5
A01,07/10/2021 20:31,14
A01,08/10/2021 0:31,11
A01,08/10/2021 4:31,9
A01,08/10/2021 8:31,7.5
A01,08/10/2021 12:31,18
A01,08/10/2021 16:31,23
A01,08/10/2021 20:31,15.5
A01,09/10/2021 0:31,11.5
A01,09/10/2021 4:31,10
A01,09/10/2021 8:31,9
A01,09/10/2021 12:31,17.5
A01,09/10/2021 16:31,22.5
A01,09/10/2021 20:31,14
A01,10/10/2021 0:31,11
A01,10/10/2021 4:31,9
A01,10/10/2021 8:31,7.5
A01,10/10/2021 12:31,17
A01,10/10/2021 16:31,21.5
A01,10/10/2021 20:31,14.5
A01,11/10/2021 0:31,10.5
A01,11/10/2021 4:31,9
A01,11/10/2021 8:31,8
A01,11/10/2021 12:31,18
