"","community","species","ind","N_leaves","leaf_area","dry_weight_mg","fresh_weight_mg","LDMC","SLA"
"552","Temperate","Helictotrichon sedenense",4,2,1059.2457,71.14,212.32,0.335060286360211,14.8895937587855
"553","Temperate","Helictotrichon sedenense",5,2,404.0225,26.45,73.61,0.359326178508355,15.2749527410208
"554","Temperate","Helictotrichon sedenense",6,2,607.6662,34.71,101.48,0.342037839968467,17.5069490060501
"555","Temperate","Helictotrichon sedenense",7,2,849.5135,57.22,153.78,0.372089998699441,14.8464435512059
"556","Temperate","Helictotrichon sedenense",8,2,372.1568,22.99,72.2,0.318421052631579,16.1877685950413
"557","Temperate","Helictotrichon sedenense",9,2,330.733,18.91,59.56,0.317494963062458,17.4898466419884
"558","Temperate","Hornungia alpina",1,2,26.0525,1.24,5.44,0.227941176470588,21.0100806451613
"559","Temperate","Hornungia alpina",10,2,26.5538,1.4,7.22,0.193905817174515,18.967
"560","Temperate","Hornungia alpina",2,2,25.2995,1.2,6.4,0.1875,21.0829166666667
"561","Temperate","Hornungia alpina",3,2,46.9701,1.96,9.13,0.214676889375685,23.9643367346939
"562","Temperate","Hornungia alpina",4,2,29.5511,1.28,6.02,0.212624584717608,23.086796875
"563","Temperate","Hornungia alpina",5,2,52.8108,3.05,13.97,0.21832498210451,17.3150163934426
"564","Temperate","Hornungia alpina",6,2,66.6497,4.6,20.79,0.221260221260221,14.4890652173913
"565","Temperate","Hornungia alpina",7,2,29.3104,1.25,6.89,0.181422351233672,23.44832
"566","Temperate","Hornungia alpina",8,2,30.7548,0.95,4.07,0.233415233415233,32.3734736842105
"567","Temperate","Hornungia alpina",9,2,31.1348,0.78,6.53,0.119448698315467,39.9164102564103
"568","Temperate","Iberis carnosa",1,2,48.8035,2.19,17.54,0.124857468643101,22.284703196347
"569","Temperate","Iberis carnosa",10,2,194.566,12.24,95.92,0.127606338615513,15.8959150326797
"570","Temperate","Iberis carnosa",2,2,106.5273,6.74,55.03,0.122478648010176,15.805237388724
"571","Temperate","Iberis carnosa",3,2,71.1175,4.69,30.09,0.155865736124958,15.1636460554371
"572","Temperate","Iberis carnosa",4,2,49.1105,3,22.69,0.132216835610401,16.3701666666667
"573","Temperate","Iberis carnosa",5,2,75.6647,5.17,36.3,0.142424242424242,14.6353384912959
"574","Temperate","Iberis carnosa",6,2,73.374,4.34,35.5,0.122253521126761,16.9064516129032
"575","Temperate","Iberis carnosa",7,2,117.1259,9.38,71.81,0.130622475978276,12.4867697228145
"576","Temperate","Iberis carnosa",8,2,37.0936,1.45,11.03,0.131459655485041,25.5817931034483
"577","Temperate","Iberis carnosa",9,2,64.8919,4.12,34.67,0.118834727430055,15.7504611650485
"578","Temperate","Jacobea boissieri",1,2,136.9248,17.79,63.35,0.280820836621942,7.69672849915683
"579","Temperate","Jacobea boissieri",10,2,162.7602,23.7,74.87,0.316548684386269,6.86751898734177
"580","Temperate","Jacobea boissieri",2,2,68.7059,8.72,27.13,0.321415407298194,7.87911697247706
"581","Temperate","Jacobea boissieri",3,2,153.5113,23.28,68.69,0.338913961275295,6.59412800687285
"582","Temperate","Jacobea boissieri",4,2,69.352,9.32,30.18,0.308813783962889,7.4412017167382
"583","Temperate","Jacobea boissieri",5,2,91.4461,12.1,42.61,0.283970898850035,7.55752892561984
"584","Temperate","Jacobea boissieri",6,2,96.2896,12.74,46.01,0.27689632688546,7.55805337519623
"585","Temperate","Jacobea boissieri",7,2,83.8244,12.4,39.22,0.316165221825599,6.76003225806452
"586","Temperate","Jacobea boissieri",8,2,224.3511,30.1,120.6,0.249585406301824,7.45352491694352
"587","Temperate","Jacobea boissieri",9,2,98.6389,14.4,50.19,0.286909742976689,6.84992361111111
"588","Temperate","Jasione cavanillesii",1,2,13.1316,0.43,2.05,0.209756097560976,30.5386046511628
