species,code,treatment,temp,petri,sow_date,initial_pre,cold_strat,D7,D14,D21,D28,D35,D42,empty,fungus
Avenella flexuosa,110822-03,D_constant_light,17,1,21/04/2023,20,13,0,0,0,0,0,0,3,3
Avenella flexuosa,110822-03,D_constant_light,17,2,21/04/2023,20,14,0,0,0,0,0,0,1,4
Avenella flexuosa,110822-03,D_constant_light,17,3,21/04/2023,18,14,0,0,0,0,0,0,0,4
Carex sempervirens,190822-08,A_alternate_light,22_12,1,13/04/2023,25,0,0,7,11,3,1,0,1,0
Carex sempervirens,190822-08,A_alternate_light,22_12,2,13/04/2023,25,0,0,14,5,1,1,0,0,0
Carex sempervirens,190822-08,A_alternate_light,22_12,3,13/04/2023,25,0,0,13,4,3,1,0,0,1
Carex sempervirens,190822-08,A_alternate_light,22_12,4,13/04/2023,25,0,0,8,13,0,0,0,0,1
Carex sempervirens,190822-08,B_alternate_dark,22_12,1,13/04/2023,25,,,,,,,2,1,0
Carex sempervirens,190822-08,B_alternate_dark,22_12,2,13/04/2023,25,,,,,,,5,0,1
Carex sempervirens,190822-08,B_alternate_dark,22_12,3,13/04/2023,25,,,,,,,10,2,0
Carex sempervirens,190822-08,B_alternate_dark,22_12,4,13/04/2023,25,,,,,,,8,0,1
Carex sempervirens,190822-08,C_alternate_WP,22_12,1,13/04/2023,25,0,0,0,0,0,0,0,1,2
Carex sempervirens,190822-08,C_alternate_WP,22_12,2,13/04/2023,25,0,0,0,0,0,0,0,2,1
Carex sempervirens,190822-08,C_alternate_WP,22_12,3,13/04/2023,25,0,0,0,0,0,0,1,2,4
Carex sempervirens,190822-08,C_alternate_WP,22_12,4,13/04/2023,25,0,0,0,0,1,0,0,2,1
Carex sempervirens,190822-08,D_constant_light,17,1,13/04/2023,25,0,0,12,4,1,0,0,3,1
Carex sempervirens,190822-08,D_constant_light,17,2,13/04/2023,25,0,0,10,8,2,0,0,0,2
Carex sempervirens,190822-08,D_constant_light,17,3,13/04/2023,25,0,0,12,3,3,0,0,2,1
Carex sempervirens,190822-08,D_constant_light,17,4,13/04/2023,25,0,0,8,4,2,4,0,0,2
Cerastium ramosissimum,280721-02,A_alternate_light,22_12,1,13/04/2023,24,4,0,0,0,0,0,0,1,0
Cerastium ramosissimum,280721-02,A_alternate_light,22_12,2,13/04/2023,25,4,0,0,0,0,0,0,1,0
Cerastium ramosissimum,280721-02,A_alternate_light,22_12,3,13/04/2023,24,6,0,0,0,0,0,0,1,0
Cerastium ramosissimum,280721-02,A_alternate_light,22_12,4,13/04/2023,23,4,0,0,0,0,0,0,4,0
Cerastium ramosissimum,280721-02,B_alternate_dark,22_12,1,13/04/2023,25,,,,,,,3,3,2
Cerastium ramosissimum,280721-02,B_alternate_dark,22_12,2,13/04/2023,25,,,,,,,7,3,0
Cerastium ramosissimum,280721-02,B_alternate_dark,22_12,3,13/04/2023,25,,,,,,,2,7,0
Cerastium ramosissimum,280721-02,B_alternate_dark,22_12,4,13/04/2023,25,,,,,,,3,3,1
Cerastium ramosissimum,280721-02,C_alternate_WP,22_12,1,13/04/2023,24,3,0,0,0,0,0,0,3,0
Cerastium ramosissimum,280721-02,C_alternate_WP,22_12,2,13/04/2023,25,4,0,0,0,0,0,0,3,1
Cerastium ramosissimum,280721-02,C_alternate_WP,22_12,3,13/04/2023,24,6,0,0,0,0,0,0,1,2
Cerastium ramosissimum,280721-02,C_alternate_WP,22_12,4,13/04/2023,25,3,0,0,0,0,0,0,2,1
Cerastium ramosissimum,280721-02,D_constant_light,17,1,13/04/2023,24,7,0,0,0,0,0,0,1,0
Cerastium ramosissimum,280721-02,D_constant_light,17,2,13/04/2023,24,5,0,0,0,0,0,0,2,0
Cerastium ramosissimum,280721-02,D_constant_light,17,3,13/04/2023,25,2,0,0,0,0,0,0,4,0
Cerastium ramosissimum,280721-02,D_constant_light,17,4,13/04/2023,25,5,0,0,0,0,0,0,1,0
Conopodium majus,250821-04,A_alternate_light,15_5,1,10/04/2023,25,13,0,0,0,0,0,0,3,3
Conopodium majus,250821-04,A_alternate_light,15_5,2,10/04/2023,25,14,1,0,0,0,0,0,1,0
Conopodium majus,250821-04,A_alternate_light,15_5,3,10/04/2023,25,13,0,0,0,0,0,0,1,2
Conopodium majus,250821-04,A_alternate_light,15_5,4,10/04/2023,25,12,0,0,0,0,0,0,3,4
Conopodium majus,250821-04,B_alternate_dark,15_5,1,10/04/2023,25,,,,,,,14,0,1
Conopodium majus,250821-04,B_alternate_dark,15_5,2,10/04/2023,25,,,,,,,10,1,0
Conopodium majus,250821-04,B_alternate_dark,15_5,3,10/04/2023,25,,,,,,,8,0,1
Conopodium majus,250821-04,B_alternate_dark,15_5,4,10/04/2023,25,,,,,,,13,0,0
Conopodium majus,250821-04,C_alternate_WP,15_5,1,10/04/2023,24,15,0,0,0,0,0,0,2,0
Conopodium majus,250821-04,C_alternate_WP,15_5,2,10/04/2023,25,17,0,0,0,0,0,0,2,2
Conopodium majus,250821-04,C_alternate_WP,15_5,3,10/04/2023,24,15,0,0,0,0,0,0,0,1
Conopodium majus,250821-04,C_alternate_WP,15_5,4,10/04/2023,25,11,0,0,0,0,0,0,2,0
Conopodium majus,250821-04,D_constant_light,10,1,10/04/2023,25,18,1,0,1,0,0,0,2,0
Conopodium majus,250821-04,D_constant_light,10,2,10/04/2023,25,20,1,1,0,0,0,0,0,1
Conopodium majus,250821-04,D_constant_light,10,3,10/04/2023,25,13,0,0,0,0,0,0,3,3
Conopodium majus,250821-04,D_constant_light,10,4,10/04/2023,25,14,1,0,0,0,1,0,1,1
Dianthus langeanus,040822-01,A_alternate_light,22_12,1,12/04/2023,25,8,17,,,,,,0,0
Dianthus langeanus,040822-01,A_alternate_light,22_12,2,12/04/2023,25,4,21,,,,,,0,0
Dianthus langeanus,040822-01,A_alternate_light,22_12,3,12/04/2023,25,7,18,,,,,,0,0
Dianthus langeanus,040822-01,A_alternate_light,22_12,4,12/04/2023,25,6,19,,,,,,0,0
Dianthus langeanus,040822-01,B_alternate_dark,22_12,1,12/04/2023,25,,,,,,,25,0,0
Dianthus langeanus,040822-01,B_alternate_dark,22_12,2,12/04/2023,25,,,,,,,24,0,0
Dianthus langeanus,040822-01,B_alternate_dark,22_12,3,12/04/2023,25,,,,,,,23,0,0
Dianthus langeanus,040822-01,B_alternate_dark,22_12,4,12/04/2023,25,,,,,,,24,0,0
Dianthus langeanus,040822-01,C_alternate_WP,22_12,1,12/04/2023,25,7,8,3,0,1,0,0,0,0
Dianthus langeanus,040822-01,C_alternate_WP,22_12,2,12/04/2023,25,9,10,0,0,0,0,0,0,0
Dianthus langeanus,040822-01,C_alternate_WP,22_12,3,12/04/2023,25,9,14,0,0,0,0,0,0,0
Dianthus langeanus,040822-01,C_alternate_WP,22_12,4,12/04/2023,25,4,18,1,0,0,0,0,0,1
Dianthus langeanus,040822-01,D_constant_light,17,1,12/04/2023,25,8,17,,,,,,0,0
Dianthus langeanus,040822-01,D_constant_light,17,2,12/04/2023,25,9,15,0,0,0,0,0,0,0
Dianthus langeanus,040822-01,D_constant_light,17,3,12/04/2023,25,3,20,0,0,1,0,0,0,0
Dianthus langeanus,040822-01,D_constant_light,17,4,12/04/2023,25,5,20,,,,,,0,0
Erigeron alpinus,190822-12,A_alternate_light,15_5,1,21/04/2023,25,0,17,2,0,0,1,0,0,3
Erigeron alpinus,190822-12,A_alternate_light,15_5,2,21/04/2023,25,0,16,5,1,1,0,1,0,0
Erigeron alpinus,190822-12,A_alternate_light,15_5,3,21/04/2023,22,0,9,4,2,2,0,0,0,4
Erigeron alpinus,190822-12,B_alternate_dark,15_5,1,21/04/2023,25,,,,,,,16,0,2
Erigeron alpinus,190822-12,B_alternate_dark,15_5,2,21/04/2023,25,,,,,,,20,0,0
Erigeron alpinus,190822-12,B_alternate_dark,15_5,3,21/04/2023,25,,,,,,,21,0,1
Erigeron alpinus,190822-12,C_alternate_WP,15_5,1,21/04/2023,25,0,5,6,0,1,1,0,0,5
Erigeron alpinus,190822-12,C_alternate_WP,15_5,2,21/04/2023,25,0,0,4,2,2,0,3,0,2
Erigeron alpinus,190822-12,C_alternate_WP,15_5,3,21/04/2023,25,0,1,2,0,2,0,0,0,2
Erigeron alpinus,190822-12,D_constant_light,10,1,21/04/2023,25,0,11,6,0,0,0,0,0,2
Erigeron alpinus,190822-12,D_constant_light,10,2,21/04/2023,23,0,14,4,0,0,1,1,0,2
Erigeron alpinus,190822-12,D_constant_light,10,3,21/04/2023,25,0,16,2,1,0,0,0,2,2
Euphrasia salisburgensis,011021-01,A_alternate_light,15_5,1,13/04/2023,25,0,0,0,0,0,0,0,0,1
Euphrasia salisburgensis,011021-01,A_alternate_light,15_5,2,13/04/2023,25,0,0,0,0,0,0,0,0,1
Euphrasia salisburgensis,011021-01,A_alternate_light,15_5,3,13/04/2023,25,0,0,0,0,0,0,0,0,3
Euphrasia salisburgensis,011021-01,A_alternate_light,15_5,4,13/04/2023,25,0,0,0,0,0,0,0,0,8
Euphrasia salisburgensis,011021-01,B_alternate_dark,15_5,1,13/04/2023,25,,,,,,,0,0,0
Euphrasia salisburgensis,011021-01,B_alternate_dark,15_5,2,13/04/2023,25,,,,,,,0,0,0
Euphrasia salisburgensis,011021-01,B_alternate_dark,15_5,3,13/04/2023,25,,,,,,,0,0,0
Euphrasia salisburgensis,011021-01,B_alternate_dark,15_5,4,13/04/2023,25,,,,,,,0,0,5
Euphrasia salisburgensis,011021-01,C_alternate_WP,15_5,1,13/04/2023,25,0,0,0,0,0,0,0,0,1
Euphrasia salisburgensis,011021-01,C_alternate_WP,15_5,2,13/04/2023,25,0,0,0,0,0,0,0,1,1
Euphrasia salisburgensis,011021-01,C_alternate_WP,15_5,3,13/04/2023,25,0,0,0,0,0,0,0,0,2
Euphrasia salisburgensis,011021-01,C_alternate_WP,15_5,4,13/04/2023,25,0,0,0,0,0,0,0,0,0
Euphrasia salisburgensis,011021-01,D_constant_light,10,1,13/04/2023,25,0,0,0,0,0,0,0,0,0
Euphrasia salisburgensis,011021-01,D_constant_light,10,2,13/04/2023,25,0,0,0,0,0,0,0,0,0
Euphrasia salisburgensis,011021-01,D_constant_light,10,3,13/04/2023,25,0,0,0,0,0,0,0,1,0
Euphrasia salisburgensis,011021-01,D_constant_light,10,4,13/04/2023,25,0,0,0,0,0,0,0,0,0
Festuca glacialis,230822-04,A_alternate_light,22_12,1,11/04/2023,25,0,0,15,4,2,1,1,0,0
Festuca glacialis,230822-04,A_alternate_light,22_12,2,11/04/2023,25,0,0,13,3,4,2,1,0,0
Festuca glacialis,230822-04,A_alternate_light,22_12,3,11/04/2023,25,0,0,15,0,5,1,0,1,0
Festuca glacialis,230822-04,A_alternate_light,22_12,4,11/04/2023,25,0,2,21,1,0,0,0,0,1
Festuca glacialis,230822-04,B_alternate_dark,22_12,1,11/04/2023,25,,,,,,,25,0,0
Festuca glacialis,230822-04,B_alternate_dark,22_12,2,11/04/2023,25,,,,,,,25,0,0
Festuca glacialis,230822-04,B_alternate_dark,22_12,3,11/04/2023,25,,,,,,,25,0,0
Festuca glacialis,230822-04,B_alternate_dark,22_12,4,11/04/2023,25,,,,,,,24,1,0
Festuca glacialis,230822-04,C_alternate_WP,22_12,1,11/04/2023,25,0,0,0,0,0,0,0,0,2
Festuca glacialis,230822-04,C_alternate_WP,22_12,2,11/04/2023,25,0,0,0,0,0,0,0,1,1
Festuca glacialis,230822-04,C_alternate_WP,22_12,3,11/04/2023,25,0,0,0,0,0,0,0,1,3
Festuca glacialis,230822-04,C_alternate_WP,22_12,4,11/04/2023,25,0,0,0,0,0,0,0,1,16
Festuca glacialis,230822-04,D_constant_light,17,1,11/04/2023,23,0,2,19,2,,,,0,0
Festuca glacialis,230822-04,D_constant_light,17,2,11/04/2023,25,0,7,13,4,0,0,0,1,0
Festuca glacialis,230822-04,D_constant_light,17,3,11/04/2023,25,0,6,18,1,,,,0,0
Festuca glacialis,230822-04,D_constant_light,17,4,11/04/2023,25,0,3,18,1,1,1,0,0,0
Festuca rubra,310821-02,A_alternate_light,22_12,1,13/04/2023,23,0,7,14,0,0,0,0,0,0
Festuca rubra,310821-02,A_alternate_light,22_12,2,13/04/2023,23,0,12,9,0,0,0,0,0,0
Festuca rubra,310821-02,B_alternate_dark,22_12,1,13/04/2023,25,,,,,,,22,2,0
Festuca rubra,310821-02,B_alternate_dark,22_12,2,13/04/2023,25,,,,,,,20,4,0
Festuca rubra,310821-02,C_alternate_WP,22_12,1,13/04/2023,24,0,0,0,0,0,0,0,0,0
Festuca rubra,310821-02,C_alternate_WP,22_12,2,13/04/2023,25,0,0,0,0,0,0,0,0,2
Festuca rubra,310821-02,D_constant_light,17,1,13/04/2023,24,0,22,1,0,0,0,0,0,0
Festuca rubra,310821-02,D_constant_light,17,2,13/04/2023,21,0,19,1,0,0,0,0,0,0
Festuca summilusitana,250821-02,A_alternate_light,22_12,1,11/04/2023,25,15,0,0,0,0,0,0,4,6
Festuca summilusitana,250821-02,A_alternate_light,22_12,2,11/04/2023,23,10,0,0,0,0,0,0,4,5
Festuca summilusitana,250821-02,A_alternate_light,22_12,3,11/04/2023,25,16,1,0,0,1,0,0,2,4
Festuca summilusitana,250821-02,A_alternate_light,22_12,4,11/04/2023,24,14,1,0,0,0,1,0,4,2
Festuca summilusitana,250821-02,B_alternate_dark,22_12,1,11/04/2023,25,,,,,,,13,5,3
Festuca summilusitana,250821-02,B_alternate_dark,22_12,2,11/04/2023,25,,,,,,,9,8,0
Festuca summilusitana,250821-02,B_alternate_dark,22_12,3,11/04/2023,25,,,,,,,9,10,0
Festuca summilusitana,250821-02,B_alternate_dark,22_12,4,11/04/2023,25,,,,,,,10,9,0
Festuca summilusitana,250821-02,C_alternate_WP,22_12,1,11/04/2023,23,9,0,0,0,0,0,0,4,5
Festuca summilusitana,250821-02,C_alternate_WP,22_12,2,11/04/2023,24,8,0,0,0,0,0,0,4,4
Festuca summilusitana,250821-02,C_alternate_WP,22_12,3,11/04/2023,25,13,0,0,1,0,0,0,4,3
Festuca summilusitana,250821-02,C_alternate_WP,22_12,4,11/04/2023,24,12,0,0,0,0,0,0,3,5
Festuca summilusitana,250821-02,D_constant_light,17,1,11/04/2023,24,16,0,1,0,0,1,0,4,2
Festuca summilusitana,250821-02,D_constant_light,17,2,11/04/2023,24,15,0,0,0,0,0,0,4,4
Festuca summilusitana,250821-02,D_constant_light,17,3,11/04/2023,25,11,0,0,2,0,0,0,5,2
Festuca summilusitana,250821-02,D_constant_light,17,4,11/04/2023,25,18,0,1,0,0,0,0,2,2
Galium pyrenaicum,310822-03,A_alternate_light,15_5,1,21/04/2023,25,0,0,0,0,0,0,0,3,1
Galium pyrenaicum,310822-03,A_alternate_light,15_5,2,21/04/2023,25,0,0,0,0,0,0,0,1,0
Galium pyrenaicum,310822-03,A_alternate_light,15_5,3,21/04/2023,25,0,0,0,0,0,0,0,1,1
Galium pyrenaicum,310822-03,A_alternate_light,15_5,4,21/04/2023,25,0,0,0,0,0,0,0,0,1
Galium pyrenaicum,310822-03,B_alternate_dark,15_5,1,21/04/2023,25,,,,,,,0,3,0
Galium pyrenaicum,310822-03,B_alternate_dark,15_5,2,21/04/2023,25,,,,,,,0,4,0
Galium pyrenaicum,310822-03,B_alternate_dark,15_5,3,21/04/2023,25,,,,,,,0,3,0
Galium pyrenaicum,310822-03,B_alternate_dark,15_5,4,21/04/2023,25,,,,,,,0,2,3
Galium pyrenaicum,310822-03,C_alternate_WP,15_5,1,21/04/2023,25,0,0,0,0,0,0,0,0,0
Galium pyrenaicum,310822-03,C_alternate_WP,15_5,2,21/04/2023,25,0,0,0,0,0,0,0,2,0
Galium pyrenaicum,310822-03,C_alternate_WP,15_5,3,21/04/2023,25,0,0,0,0,0,0,0,0,0
Galium pyrenaicum,310822-03,C_alternate_WP,15_5,4,21/04/2023,25,0,0,0,0,0,0,0,2,0
Galium pyrenaicum,310822-03,D_constant_light,10,1,21/04/2023,25,0,0,0,0,1,0,0,0,2
Galium pyrenaicum,310822-03,D_constant_light,10,2,21/04/2023,25,0,0,0,0,0,0,0,0,0
Galium pyrenaicum,310822-03,D_constant_light,10,3,21/04/2023,25,0,0,0,0,0,0,0,0,2
Galium pyrenaicum,310822-03,D_constant_light,10,4,21/04/2023,25,0,0,1,0,0,0,0,1,0
