species;treatment;temp;petri;sow_date;initial;cold_strat;D7;D14;D21;D28;D35;D42;empty;fungus
Armeria cantabrica;C_alternate_WP;22_12;2;13/04/2023;25;0;0;0;0;0;0;0;10;0
Armeria cantabrica;C_alternate_WP;22_12;3;13/04/2023;25;0;0;0;0;0;0;0;8;4
Armeria cantabrica;C_alternate_WP;22_12;4;13/04/2023;25;0;0;1;0;0;0;0;6;1
Armeria cantabrica;D_constant_light;17;1;13/04/2023;25;0;4;11;1;0;1;0;3;2
Armeria cantabrica;D_constant_light;17;2;13/04/2023;24;0;8;4;1;0;1;0;4;2
Armeria cantabrica;D_constant_light;17;3;13/04/2023;25;0;9;6;1;2;0;0;2;3
Armeria cantabrica;D_constant_light;17;4;13/04/2023;25;0;16;4;0;0;0;0;4;0
Armeria duriaei;A_alternate_light;22_12;1;13/04/2023;25;0;0;0;0;0;0;1;0;1
Armeria duriaei;A_alternate_light;22_12;2;13/04/2023;25;0;0;0;0;0;0;2;0;0
Armeria duriaei;A_alternate_light;22_12;3;13/04/2023;25;0;0;0;0;0;0;1;0;1
Armeria duriaei;A_alternate_light;22_12;4;13/04/2023;25;0;0;0;0;2;0;1;0;0
Armeria duriaei;B_alternate_dark;22_12;1;13/04/2023;25;;;;;;;0;0;0
Armeria duriaei;B_alternate_dark;22_12;2;13/04/2023;25;;;;;;;0;0;0
Armeria duriaei;B_alternate_dark;22_12;3;13/04/2023;25;;;;;;;0;2;0
Armeria duriaei;B_alternate_dark;22_12;4;13/04/2023;25;;;;;;;0;0;1
Armeria duriaei;C_alternate_WP;22_12;1;13/04/2023;25;0;0;0;0;0;0;0;0;0
Armeria duriaei;C_alternate_WP;22_12;2;13/04/2023;25;0;0;0;0;0;0;0;0;0
Armeria duriaei;C_alternate_WP;22_12;3;13/04/2023;25;0;0;0;0;0;0;0;0;0
Armeria duriaei;C_alternate_WP;22_12;4;13/04/2023;25;0;0;0;0;0;0;0;0;1
Armeria duriaei;D_constant_light;17;1;13/04/2023;25;0;3;0;0;2;6;2;1;0
Armeria duriaei;D_constant_light;17;2;13/04/2023;25;0;1;0;1;0;3;7;0;0
Armeria duriaei;D_constant_light;17;3;13/04/2023;25;0;5;1;3;1;2;4;0;0
Armeria duriaei;D_constant_light;17;4;13/04/2023;25;0;2;1;1;1;4;9;1;0
Avenella flexuosa;A_alternate_light;22_12;1;21/04/2023;20;11;0;0;0;0;0;0;0;9
Avenella flexuosa;A_alternate_light;22_12;2;21/04/2023;20;17;0;0;0;0;0;0;0;2
Avenella flexuosa;A_alternate_light;22_12;3;21/04/2023;20;16;0;0;0;0;0;0;0;1
Avenella flexuosa;B_alternate_dark;22_12;1;21/04/2023;20;;;;;;;13;0;4
Avenella flexuosa;B_alternate_dark;22_12;2;21/04/2023;20;;;;;;;15;0;4
Avenella flexuosa;B_alternate_dark;22_12;3;21/04/2023;20;;;;;;;14;3;2
Avenella flexuosa;C_alternate_WP;22_12;1;21/04/2023;20;17;0;0;0;0;0;0;0;0
Avenella flexuosa;C_alternate_WP;22_12;2;21/04/2023;20;20;;;;;;;0;0
Avenella flexuosa;C_alternate_WP;22_12;3;21/04/2023;20;15;0;0;0;0;0;0;0;5
Avenella flexuosa;D_constant_light;17;1;21/04/2023;20;13;0;0;0;0;0;0;3;3
Avenella flexuosa;D_constant_light;17;2;21/04/2023;20;14;0;0;0;0;0;0;1;4
Avenella flexuosa;D_constant_light;17;3;21/04/2023;18;14;0;0;0;0;0;0;0;4
Carex sempervirens;A_alternate_light;22_12;1;13/04/2023;25;0;0;7;11;3;1;0;1;0
Carex sempervirens;A_alternate_light;22_12;2;13/04/2023;25;0;0;14;5;1;1;0;0;0
Carex sempervirens;A_alternate_light;22_12;3;13/04/2023;25;0;0;13;4;3;1;0;0;1
Carex sempervirens;A_alternate_light;22_12;4;13/04/2023;25;0;0;8;13;0;0;0;0;1
Carex sempervirens;B_alternate_dark;22_12;1;13/04/2023;25;;;;;;;2;1;0
Carex sempervirens;B_alternate_dark;22_12;2;13/04/2023;25;;;;;;;5;0;1
Carex sempervirens;B_alternate_dark;22_12;3;13/04/2023;25;;;;;;;10;2;0
